DateCreated,Title,Citations,AverageCitations,Decision,APPLICATION...COMMENTS.FROM.PANEL,Simulation.Package.Name,X3.1..Published.in.peer.reviewed.journals..The.publication.does.not.have.to.focus.on.the.simulator..but.should.describe.the.simulation.method.and.applications.clearly.,Comments..7,X3.2..List.typical.applications.in.the..Applications..tab.of.the.GSR.entry.of.the.simulator..The.author.needs.to.identify.typical.application.s..of.the.simulator.and.list.publications.that.use.the.simulator.on.GSR..The.publications.listed.should.use.the.simulator.to.simulate.data..Publications.that.only.mention.the.software.packages..e.g..in.a.discussion.section.or.review.article..should.not.be.included.because.these.publications.do.not.reflect.use.of.the.package..or.an.application.,Comments..8,X3.3..Used.and.cited.by.at.least.5.external.users.in.the.past.5.years..or.twice.in.the.past.year..as.demonstrated.by.citations.listed.in.the.Applications.tab..External.users.refer.to.people.or.researchers.who.are.not.one.of.the.package.authors.or.directly.affiliated.with.the.authors.,Comments..9,X3.4..OVERALL.CERTIFICATION.FOR.APPLICATION..1,Initial.Reviewer.Overall.Comments.,Review.Committee.Overall.Comments.,FINAL.DECISION
4/29/2016,discoal,34,4.672439759,Review,No applications are listed for discoal,discoal,Yes,discoal has been published,No,Applicaitons of discoal was not listed,Yes,discoal has been cited 19 times,NO,discoal is a well maintained coalescent simulator,"Accessibility: yes
Documentation: yes
Application: usual no
Support: yes

HSC-  No to Application, Yes to others.   No details in GSR

MR: Yes to Accessibility, Documentation and Support. No to Application (potential yes).",
8/14/2011,DWGSIM,0,NA,X,"DWGSIM is not published.

LM - agree.",DWGSIM,No,DWGSIM does not seem to be published in any peer-reviewed journal (the authors could clarify).,No,The authors could list applications in the GSR entry of DWGSIM.,No,DWGSIM seems to be widely used but there is no way for it to be cited.,NO,"DWGSIM is a typical open source project. It is not published perhaps because it was forked from Li Heng's WGSIM. We could award accessibility, support and documentation if the author is willing to update the GSR entry, although he has stated in the homepage that only limited support will be provided to the software.","HSC- 
   - Yes to ""Accessibility"" 
   - ""Documentation""  is quite complete. Should be a ""Yes"" if the author updates on GSR.
   - No to ""Application""
   -Yes to ""Support:
LM -
Yes to Acessibility and Support; No to application; not sure about documentation.",
8/29/2014,EAGLE,0,0,X,EAGLE is not cited,EAGLE,No,EAGLE is not published,No,No applications listed on GSR website for EAGLE,No,EAGLE was not cited,NO,"Accessibility: yes, on github, BSD license
Documentation: Yes
Application: No. 
Support: Yes, there are closed issues in 2019
","MR: Accessibility, Documentation, Support",
4/11/2012,EggLib,64,5.649334946,Review,"Need additional info about typical applications but this can be easily fixed by author of the eggLib.

MR: agree",EggLib,Yes,"EggLib was published in peer-reviewed journal, BMC Genet.
The publication described the simulation method and applications clearly.",No,No example publication using EggLib has been provided in the “Applications” tab of the GSR entry of the simulator.,Yes,EggLib is used and cited by at least 5 external users in the past 5 years.,NO,"Although it is lack of the evidences of response to user inquiries and support for users can be found, EggLib is a well-maintained package and has the potential to be fully certified if the authors respond to our request to add more sample application.
","HSC- I agree with the initial reviewer

MR: agree. Yes to accessibility and documentation. Support and application should be easy to fix.",
9/17/2011,EpiSIM,38,3.19438047,Review,"There is no evidence that EpiSIM has been cited, but the authors might be able to add some citations. In any case the GSR entry is incomplete.",EpiSIM,Yes,"EpiSIM was published in peer-reviewed journal, Genes & Genomics.
The publication described the simulation method and applications clearly.",No,No example publication using EpiSIM has been provided in the “Applications” tab of the GSR entry of the simulator.,No,No information about EpiSIM being used and cited can be found.,NO,"EpiSIM seems to be abandoned as well because there is no evidence of support, application, or update since it was released.
","I believe EpiSIM has been abandoned but the authors might respond and add at least a license.

HSC- 
Accessibility --  Yes, except license information
Documentation -- Yes.  
Application - No
Support - No

MR: No to accessibility because of missing license; Yes to Documentation; No to Application; No to Support.",
8/8/2006,EvolSimulator,21,1.234697165,Review,EvolSimulator has not been actively cited but the authors might be able to provide a list of citations.,EvolSimulator,Yes,"EvolSimulator was published in peer-reviewed journal, Bioinformatics. The publication described the simulation method and applications clearly.",No,No example publication using EvolSimulator has been provided in the “Applications” tab of the GSR entry of the simulator.,No,EvolSimulator is not used and cited by at least 5 external users in the past 5 years. Some of the recent citations are from other simulators.,NO,"Although it is lack of the evidences of response to user inquiries and support for users can be found, EvolSimulator was well documented and is still accessible after 12 years.","EvolSimulator does not seem to be used and maintained, but it is still accessible and well documented. I doubt the authors would respond to our communication and try to get other two certificates though.

HSC:   Agree with Bo. 

           Accessibility: Yes
           Documentation: Yes
           Application: No
           Support: No

MR: same as BP and HSC.",
4/1/2008,EvolveAGene,26,1.692829112,Review,EvolveAGene has been cited 21 times but the real application can be a lot less. The authors should add applications to the entry.,EvolveAGene,Yes,"EvolveAGene was published in peer-reviewed journal, Mol Biol Evol.
The publication described the simulation method and applications clearly.
",No,"No example publication using EvolveAGene has been provided in the “Applications” tab of the GSR entry of the simulator.
",Yes,EvolveAGene is used and cited by at least 5 external users in the past 5 years.,NO,"Although it is lack of the evidences of response to user inquiries and support for users can be found, EvolveAGene is a well-maintained package and has the potential to be fully certified if the authors respond to our request to add citations, information of license and sample applications.
","EvolveAGene appears to be abandoned because there is no recent development, and there is no ticket although there is a ticket tracker. It could be certified for accessibility, documentation, and application if the author is willing to help.

HSC- there are many citations for this package.  The most recent one is 2019 May. Seems to be a useful package. 

MR: No to accessibility because of missing license; Yes to Documentation; Maybe to Application; No to Support.",
7/16/2014,FASTQSim,17,1.875188879,Review,FASTQSim lacks citations in GSR entry,FASTQSim,Yes,FASTQSim is published in a peer reviewed journal,No,Applications of FASTQSim is not listed,Yes,FASTQSim has been cited 12 times since its publication,NO,"It is almost unfair to other github-hosted packages since FASTQSim is hosted at sourceforge and is very difficult to nevigate, but the essential pieces are there.","Accessibility: barely
Documentation: barely
Citation: the usual no
Support: barely

HSC-

Accessibility: Yes
Documentation: Yes
Citation: No 
Support: Yes

MR: Yes to Accessibility, Documentation and Support (although nobody is asking questions). No but possible to Application.
",
5/1/2011,fastsimcoal,154,12.54407498,Review,,,,,,,,,,,,
12/15/2012,FFPopSim,25,2.347568819,Review,"HSC-- for 3.2) typical applications in the “Applications” tab of the GSR entry of the simulator,    there is no example.    However, this can be easily fixable because this package is cited by 7 external users in their applications.    

MR -- Should easily get a Yes by identifying some applications among the 10 citing articles. 

LM - agree with Melissa.  This would be a ""no"" until this was updated.",FFPopSim,Yes,"Published in peer-reviewed journal, Bioinformatics, which can be found at https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3519462/
The publication described the simulation method and applications clearly.",No,No example publication using FFPopSim has been provided in the “Applications” tab of the GSR entry of the simulator.,Yes,"FFPopSim is Cited by 7 external users in the past 4 years, which can be found at https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3519462/citedby/",NO,FFPopSim is a well-maintained package and the author has been supportive. I assume that the author could add some citations and publicize method of support to get fully certified.,"HSC --  I agree with the initial reviewer's overall comments. 
MR -- Yes for Accessibility and Documentation; No (easy to turn to Yes) for Application; No (possibly Yes if authors make changes) for Support. 
LM -- Yes for Acc and Doc, No for App and Support.",
5/19/2014,FIGG,4,0.433620434,X,"FIGG was not used and cited at all, perhaps because it is too much trouble to set up hadoop for this simple simulator.

MR - No to application.",FIGG,Yes,"FIGG was published in peer-reviewed journal, BMC Bioinformatics.
The publication of FIGG described the simulation method and applications clearly.",No,No example publication using FIGG has been provided in the “Applications” tab of the GSR entry of the simulator.,No,"FIGG was not cited at all according to PMC.

HC comment:

cited by 3 according to google scholar:

[1] TwoPaCo: An efficient algorithm to build the compacted de Bruijn graph from many complete genomes
I Minkin, S Pham, P Medvedev - Bioinformatics, 2016 - academic.oup.com 

[2] Data-intensive computing infrastructure systems for unmodified biological data analysis pipelines
LA Bongo, E Pedersen, M Ernstsen - International Meeting on …, 2014 - Springer

[3] A Data Management Model For Large-Scale Bioinformatics Analysis
E Pedersen - 2017 - munin.uit.no
",NO,FIGG is not actively used and lacks application and support. We could award access and documentation although the latter also needs work.,"BP - Agree with Man Chong. FIGG has failed to attract users and will likely disappear in a few years.

MR - Yes to Accessibility and Documentation. No to Application and Support.

HC - Agree.   Yes to  access and documentation  only.   There are some citations,  but not clear what kind of applications. ",
6/18/2013,forqs,17,1.676121016,Review,"HSC-  There are a few applications but none is  provided in the “Applications” tab of the GSR entry of the simulator.

LM - I think this is a ""No"".  Looking at PubMedCentral, only 3 of these papers appear to be actual applications (the remaining are reviews or software packages).

MR -- Yes to Application if the authors can provide evidence (3 examples seems enough to me).",forqs,Yes,"forqs was published in peer-reviewed journal, Bioinformatics, which can be found at https://academic.oup.com/bioinformatics/article/30/4/576/204337/forqs-forward-in-time-simulation-of-recombination
The publication described the simulation method and applications clearly.",No,No example publication using forqs has been provided in the “Applications” tab of the GSR entry of the simulator.,Yes,"forqs was cited by 7 external users in the past 5 years which can be found at https://www.ncbi.nlm.nih.gov/pubmed?linkname=pubmed_pubmed_citedin&from_uid=24336146 . It is currently unclear how many of the 7 citations are actual applications so we will review this when the citations are added to the applications tab of GSR.
",NO,forqs is a high quality software and we should work with the author to get it fully certified.,"HSC-  I agree with the initial review, except ""DOCUMENTATION"". 
LM - I think we should say ""Yes"" to access, ""Yes"" to Documentation, ""No"" to Application and ""No"" to support, with time to address these.
MR -- agree with Leah.",10/2/17 - not clear - disagreement on application and support
10/20/2009,FPG,0,NA,X,"HSC- No information at all. 

MR: pubmed search returns no results. Through Google identified this ""Hey J. FPG: A computer program for forward population genetics simulation. 2004."" but could not retrieve. And the citing publication were: PMC2851118, PMC2147962.

LM - no for applications (pubs from Melissa are reviews)",FPG,No,There are no informations of publication of FPG can be found in GSR or package homepage.,No,No example publication using FPG has been provided in the “Applications” tab of the GSR entry of the simulator.,No,There are no informations of publication of FPG can be found in GSR or package homepage.,NO,"FPG is a well-maintained package. However, there are no evidences of the author being supportive, no informations of the license, and no information of citations and publication. We could contact the authors to check if they are willing to provide these informations to us.","HSC -  The website is not accessible on 9/13/2017. I don't know if it is temporarily or permanently.  Will revisit again to check out. 

MR: ok to accessibility, pending license info; ok to documentation; no to application, unless Hey 2004 is made accessible and authors documents the required applications; no to support.

LM:  I would give accessibility and documentation; No to support and Application.",
5/1/2019,FreeHi-C,4,0.936497755,X,FreeHi-C has only one likely application,FreeHi-C,Yes,FreeHi-C is published in a  peer reviewed journal,No,No applications have been listed for FreeHi-C,No,"FreeHi-C has 3 citations, 1 likely application from 2021",NO,"accessibility:  ok
documentation: ok
application: FreeHi-C has only 1 application
support: authors have not responded to any issues since 2019","For support: the author forked the repo to its lab but has been answering questions from his own repo (https://github.com/yezhengSTAT/FreeHiC/issues). So support certificate can be awarded. BP 

HSC- agree with BP
MR - agree all but application",
8/1/2008,FREGENE,37,2.462618527,Review,,,,,,,,,,,,
1/16/2014,fwdpp,30,3.137535817,X,"fwdpp is quite complex and low level, which explains why it has not been cited frequently.
LM - agree, I only could find the 2 applications mentioned by the author plus 1 more. ",fwdpp,Yes,"fwdpp was published in peer-reviewed journal, BMC Bioinformatics.
The publication of fwdpp described the simulation method and applications clearly.",Yes,There are typical applications of fwdpp in the “Applications” tab of the GSR entry of the simulator.,No,"fwdpp is Cited by 2 external users in the past year according to PMC (2016, and 2017), but the latest citation is from the author.",NO,fwdpp is a well-maintained package and the author has been supportive. I assume that the author could complete the information at GSR entry to get fully certified.,"I mostly agree with the initial review on fwdpp but the number of citations is not enough to justify a certificate in applications.
LM - Yes to Accessibility and Support; No to Documentation and Applications.  There are not enough applications.

",
7/21/2018,G2P,3,0.594139989,X,G2P has no applications listed under GSR.,G2P,Yes,G2P is published,No,No citations has been added for G2P,No,G2P has been cited twice according to PMC but may have other citations.,NO,G2P is not open source and has not been widely used.,"Accessibility: no license
Documentation: yes
Application: no
Support: yes

HSC-  Yes to Documentation and Support

MR: No to Accessibility (lacks license); Yes to Documentation; No to Application; No to Support (issues are open and don't see any attempt to address them).
        
",
10/1/2012,GAMETES,54,4.974760222,Review,"GEMETES has been cited (31 according to PMC) but the GSR website is not updated.

LM - I agree, just need to update the GSR website.",GAMETES,Yes,"GAMETES was published in peer-reviewed journal, BioData Min.
The publication described the simulation method and applications clearly.",No,"No example publication using GAMETES has been provided in the “Applications” tab of the GSR entry of the simulator.
",Yes,GAMETES is used and cited by at least 5 external users in the past 5 years.,NO,"GAMETES has not been updated for five years, the homepage is inaccessible, and there is no evidence of support. It is however being used and cited and Dr. Jason Moore might be able to find another student to maintain it and update the GSR entry.
","LM - it doesn't look like this software has been updated in 5 years.  It is being used alot and cited.  The documentation does suggest people should reach Jason Moore for this software, so he would be the person to contact.  I would give this Accessibility and Documentation and No to Support and Applications (asking Jason to update the page).
MR: Yes to Accessibility and Documentation. Maybe to Applications, pending update of the GSR applications tab. No to Support.   Note: I considered as homepage for this software ""https://sourceforge.net/projects/gametes/"" and not the link under the support page ""http://epistasis.org/software/"" which points to GitHub where gametes is not even listed among this group's software.  ",
3/30/2011,GARLIC,15,1.213161977,X,GARLIC has not been applied and cited often enough to be certified,GARLIC,Yes,GARLIC is published in a peer-review journal,No,No applications of GARLIC are listed under its GSR entry,No,GARLIC has not been cited frequent enough,NO,"accessibility: yes
documentation: borderline yes
application: no (very few citations are real applications)
support: yes (no ticket)","HSC:  Yes to all except Application. 
MR: ok",
